"RecordNo";"company";"pos"
1301;"Inna_5";"Aided"
1301;"Boczniak";"Aided"
1301;"Pieczarka";"Aided"
1311;"Maœlak";"Not mentioned"
1311;"Go³¹bek";"Aided"
1311;"KoŸlarz";"Not mentioned"
1311;"Nie znam ¿adnych";"Aided"
1311;"Borowik";"Aided"
1311;"Czubajka";"Not mentioned"
1311;"Podgrzybek";"Aided"
1311;"Opieñka";"Aided"
1311;"G¹ska";"Not mentioned"
1311;"Inna_2";"Aided"
1311;"Inna_1";"Aided"
1311;"Inna_8";"Aided"
1311;"Inna_6";"Aided"
1311;"Inna_9";"Aided"
1311;"Inna_4";"Aided"
1311;"Inna_3";"Aided"
1311;"Inna_7";"Aided"
1311;"Inna_5";"Aided"
1311;"Boczniak";"Aided"
1311;"Pieczarka";"Aided"
1319;"Maœlak";"Not mentioned"
1319;"Go³¹bek";"Aided"
1319;"KoŸlarz";"Aided"
1319;"Nie znam ¿adnych";"Aided"
1319;"Borowik";"Aided"
1319;"Czubajka";"Unaided"
1319;"Podgrzybek";"Not mentioned"
1319;"Opieñka";"Not mentioned"
1319;"G¹ska";"Aided"
1319;"Inna_2";"Aided"
1319;"Inna_1";"Aided"
1319;"Inna_8";"Aided"
1319;"Inna_6";"Aided"
1319;"Inna_9";"Aided"
1319;"Inna_4";"Aided"
1319;"Inna_3";"Aided"
1319;"Inna_7";"Aided"
1319;"Inna_5";"Aided"
1319;"Boczniak";"Aided"
1319;"Pieczarka";"Not mentioned"
1323;"Maœlak";"Aided"
1323;"Go³¹bek";"Aided"
1323;"KoŸlarz";"Aided"
1323;"Nie znam ¿adnych";"Aided"
1323;"Borowik";"Aided"
1323;"Czubajka";"Aided"
1323;"Podgrzybek";"Aided"
1323;"Opieñka";"Aided"
1323;"G¹ska";"Aided"
1323;"Inna_2";"Aided"
1323;"Inna_1";"Aided"
1323;"Inna_8";"Aided"
1323;"Inna_6";"Aided"
1323;"Inna_9";"Aided"
1323;"Inna_4";"Aided"
1323;"Inna_3";"Aided"
1323;"Inna_7";"Aided"
1323;"Inna_5";"Aided"
1323;"Boczniak";"Aided"
1323;"Pieczarka";"Aided"
1336;"Maœlak";"Aided"
1336;"Go³¹bek";"Aided"
1336;"KoŸlarz";"Aided"
1336;"Nie znam ¿adnych";"Aided"
1336;"Borowik";"Aided"
1336;"Czubajka";"Aided"
1336;"Podgrzybek";"Not mentioned"
1336;"Opieñka";"Not mentioned"
1336;"G¹ska";"Not mentioned"
1336;"Inna_2";"Aided"
1336;"Inna_1";"Aided"
1336;"Inna_8";"Aided"
1336;"Inna_6";"Aided"
1336;"Inna_9";"Aided"
1336;"Inna_4";"Aided"
1336;"Inna_3";"Aided"
1336;"Inna_7";"Aided"
1336;"Inna_5";"Aided"
1336;"Boczniak";"Not mentioned"
1336;"Pieczarka";"Aided"
1344;"Maœlak";"Not mentioned"
1344;"Go³¹bek";"Top of Mind"
1344;"KoŸlarz";"Unaided"
1344;"Nie znam ¿adnych";"Aided"
1344;"Borowik";"Unaided"
1344;"Czubajka";"Not mentioned"
1344;"Podgrzybek";"Aided"
1344;"Opieñka";"Aided"
1344;"G¹ska";"Not mentioned"
1344;"Inna_2";"Aided"
1344;"Inna_1";"Aided"
1344;"Inna_8";"Aided"
1344;"Inna_6";"Aided"
1344;"Inna_9";"Aided"
1344;"Inna_4";"Aided"
1344;"Inna_3";"Aided"
1344;"Inna_7";"Aided"
1344;"Inna_5";"Aided"
1344;"Boczniak";"Aided"
1344;"Pieczarka";"Aided"
1357;"Maœlak";"Not mentioned"
1357;"Go³¹bek";"Aided"
1357;"KoŸlarz";"Aided"
1357;"Nie znam ¿adnych";"Aided"
1357;"Borowik";"Unaided"
1357;"Czubajka";"Aided"
1357;"Podgrzybek";"Aided"
1357;"Opieñka";"Aided"
1357;"G¹ska";"Aided"
1357;"Inna_2";"Aided"
1357;"Inna_1";"Aided"
1357;"Inna_8";"Aided"
1357;"Inna_6";"Aided"
1357;"Inna_9";"Aided"
1357;"Inna_4";"Aided"
1357;"Inna_3";"Aided"
1357;"Inna_7";"Aided"
1357;"Inna_5";"Aided"
1357;"Boczniak";"Aided"
1357;"Pieczarka";"Aided"
1358;"Maœlak";"Not mentioned"
1358;"Go³¹bek";"Aided"
1358;"KoŸlarz";"Not mentioned"
1358;"Nie znam ¿adnych";"Aided"
1358;"Borowik";"Aided"
1358;"Czubajka";"Not mentioned"
1358;"Podgrzybek";"Not mentioned"
1358;"Opieñka";"Not mentioned"
1358;"G¹ska";"Not mentioned"
1358;"Inna_2";"Aided"
1358;"Inna_1";"Aided"
1358;"Inna_8";"Aided"
1358;"Inna_6";"Aided"
1358;"Inna_9";"Aided"
1358;"Inna_4";"Aided"
1358;"Inna_3";"Aided"
1358;"Inna_7";"Aided"
1358;"Inna_5";"Aided"
1358;"Boczniak";"Aided"
1358;"Pieczarka";"Not mentioned"
1360;"Maœlak";"Aided"
1360;"Go³¹bek";"Not mentioned"
1360;"KoŸlarz";"Not mentioned"
1360;"Nie znam ¿adnych";"Aided"
1360;"Borowik";"Not mentioned"
1360;"Czubajka";"Aided"
1360;"Podgrzybek";"Aided"
1360;"Opieñka";"Aided"
1360;"G¹ska";"Aided"
1360;"Inna_2";"Aided"
1360;"Inna_1";"Aided"
1360;"Inna_8";"Aided"
1360;"Inna_6";"Aided"
1360;"Inna_9";"Aided"
1360;"Inna_4";"Aided"
1360;"Inna_3";"Aided"
1360;"Inna_7";"Aided"
1360;"Inna_5";"Aided"
1360;"Boczniak";"Aided"
1360;"Pieczarka";"Aided"
1364;"Maœlak";"Aided"
1364;"Go³¹bek";"Aided"
1364;"KoŸlarz";"Aided"
1364;"Nie znam ¿adnych";"Aided"
1364;"Borowik";"Not mentioned"
1364;"Czubajka";"Not mentioned"
1364;"Podgrzybek";"Aided"
1364;"Opieñka";"Aided"
1364;"G¹ska";"Aided"
1364;"Inna_2";"Aided"
1364;"Inna_1";"Aided"
1364;"Inna_8";"Aided"
1364;"Inna_6";"Aided"
1364;"Inna_9";"Aided"
1364;"Inna_4";"Aided"
1364;"Inna_3";"Aided"
1364;"Inna_7";"Aided"
1364;"Inna_5";"Aided"
1364;"Boczniak";"Aided"
1364;"Pieczarka";"Aided"
1368;"Maœlak";"Aided"
1368;"Go³¹bek";"Aided"
1368;"KoŸlarz";"Aided"
1368;"Nie znam ¿adnych";"Aided"
1368;"Borowik";"Aided"
1368;"Czubajka";"Not mentioned"
1368;"Podgrzybek";"Not mentioned"
1368;"Opieñka";"Not mentioned"
1368;"G¹ska";"Not mentioned"
1368;"Inna_2";"Aided"
1368;"Inna_1";"Aided"
1368;"Inna_8";"Aided"
1368;"Inna_6";"Aided"
1368;"Inna_9";"Aided"
1368;"Inna_4";"Aided"
1368;"Inna_3";"Aided"
1368;"Inna_7";"Aided"
1368;"Inna_5";"Aided"
1368;"Boczniak";"Aided"
1368;"Pieczarka";"Aided"
1371;"Maœlak";"Not mentioned"
1371;"Go³¹bek";"Not mentioned"
1371;"KoŸlarz";"Not mentioned"
1371;"Nie znam ¿adnych";"Aided"
1371;"Borowik";"Not mentioned"
1371;"Czubajka";"Not mentioned"
1371;"Podgrzybek";"Not mentioned"
1371;"Opieñka";"Not mentioned"
1371;"G¹ska";"Not mentioned"
1371;"Inna_2";"Aided"
1371;"Inna_1";"Aided"
1371;"Inna_8";"Aided"
1371;"Inna_6";"Aided"
1371;"Inna_9";"Aided"
1371;"Inna_4";"Aided"
1371;"Inna_3";"Aided"
1371;"Inna_7";"Aided"
1371;"Inna_5";"Aided"
1371;"Boczniak";"Aided"
1371;"Pieczarka";"Aided"
1375;"Maœlak";"Not mentioned"
1375;"Go³¹bek";"Not mentioned"
1375;"KoŸlarz";"Aided"
1375;"Nie znam ¿adnych";"Aided"
1375;"Borowik";"Not mentioned"
1375;"Czubajka";"Aided"
1375;"Podgrzybek";"Aided"
1375;"Opieñka";"Aided"
1375;"G¹ska";"Not mentioned"
1375;"Inna_2";"Aided"
1375;"Inna_1";"Aided"
1375;"Inna_8";"Aided"
1375;"Inna_6";"Aided"
1375;"Inna_9";"Aided"
1375;"Inna_4";"Aided"
1375;"Inna_3";"Aided"
1375;"Inna_7";"Aided"
1375;"Inna_5";"Aided"
1375;"Boczniak";"Aided"
1375;"Pieczarka";"Aided"
1387;"Maœlak";"Unaided"
1387;"Go³¹bek";"Aided"
1387;"KoŸlarz";"Aided"
1387;"Nie znam ¿adnych";"Aided"
1387;"Borowik";"Aided"
1387;"Czubajka";"Aided"
1387;"Podgrzybek";"Unaided"
1387;"Opieñka";"Not mentioned"
1387;"G¹ska";"Unaided"
1387;"Inna_2";"Aided"
1387;"Inna_1";"Aided"
1387;"Inna_8";"Aided"
1387;"Inna_6";"Aided"
1387;"Inna_9";"Aided"
1387;"Inna_4";"Aided"
1387;"Inna_3";"Aided"
1387;"Inna_7";"Aided"
1387;"Inna_5";"Aided"
1387;"Boczniak";"Aided"
1387;"Pieczarka";"Not mentioned"
1393;"Maœlak";"Aided"
1393;"Go³¹bek";"Aided"
1393;"KoŸlarz";"Aided"
1393;"Nie znam ¿adnych";"Aided"
1393;"Borowik";"Unaided"
1393;"Czubajka";"Aided"
1393;"Podgrzybek";"Aided"
1393;"Opieñka";"Not mentioned"
1393;"G¹ska";"Aided"
1393;"Inna_2";"Aided"
1393;"Inna_1";"Aided"
1393;"Inna_8";"Aided"
1393;"Inna_6";"Aided"
1393;"Inna_9";"Aided"
1393;"Inna_4";"Aided"
1393;"Inna_3";"Aided"
1393;"Inna_7";"Aided"
1393;"Inna_5";"Aided"
1393;"Boczniak";"Aided"
1393;"Pieczarka";"Aided"
1403;"Maœlak";"Not mentioned"
1403;"Go³¹bek";"Top of Mind"
1403;"KoŸlarz";"Unaided"
1403;"Nie znam ¿adnych";"Aided"
1403;"Borowik";"Aided"
1403;"Czubajka";"Aided"
1403;"Podgrzybek";"Aided"
1403;"Opieñka";"Not mentioned"
1403;"G¹ska";"Unaided"
1403;"Inna_2";"Aided"
1403;"Inna_1";"Aided"
1403;"Inna_8";"Aided"
1403;"Inna_6";"Aided"
1403;"Inna_9";"Aided"
1403;"Inna_4";"Aided"
1403;"Inna_3";"Aided"
1403;"Inna_7";"Aided"
1403;"Inna_5";"Aided"
1403;"Boczniak";"Aided"
1403;"Pieczarka";"Aided"
1404;"Maœlak";"Not mentioned"
1404;"Go³¹bek";"Aided"
1404;"KoŸlarz";"Not mentioned"
1404;"Nie znam ¿adnych";"Aided"
1404;"Borowik";"Aided"
1404;"Czubajka";"Aided"
1404;"Podgrzybek";"Not mentioned"
1404;"Opieñka";"Not mentioned"
1404;"G¹ska";"Not mentioned"
1404;"Inna_2";"Aided"
1404;"Inna_1";"Aided"
1404;"Inna_8";"Aided"
1404;"Inna_6";"Aided"
1404;"Inna_9";"Aided"
1404;"Inna_4";"Aided"
1404;"Inna_3";"Aided"
1404;"Inna_7";"Aided"
1404;"Inna_5";"Aided"
1404;"Boczniak";"Aided"
1404;"Pieczarka";"Aided"
1412;"Maœlak";"Aided"
1412;"Go³¹bek";"Top of Mind"
1412;"KoŸlarz";"Not mentioned"
1412;"Nie znam ¿adnych";"Aided"
1412;"Borowik";"Not mentioned"
1412;"Czubajka";"Not mentioned"
1412;"Podgrzybek";"Aided"
1412;"Opieñka";"Aided"
1412;"G¹ska";"Not mentioned"
1412;"Inna_2";"Aided"
1412;"Inna_1";"Aided"
1412;"Inna_8";"Aided"
1412;"Inna_6";"Aided"
1412;"Inna_9";"Aided"
1412;"Inna_4";"Aided"
1412;"Inna_3";"Aided"
1412;"Inna_7";"Aided"
1412;"Inna_5";"Aided"
1412;"Boczniak";"Aided"
1412;"Pieczarka";"Not mentioned"
1419;"Maœlak";"Not mentioned"
1419;"Go³¹bek";"Top of Mind"
1419;"KoŸlarz";"Unaided"
1419;"Nie znam ¿adnych";"Aided"
1419;"Borowik";"Unaided"
1419;"Czubajka";"Unaided"
1419;"Podgrzybek";"Not mentioned"
1419;"Opieñka";"Not mentioned"
1419;"G¹ska";"Not mentioned"
1419;"Inna_2";"Aided"
1419;"Inna_1";"Aided"
1419;"Inna_8";"Aided"
1419;"Inna_6";"Aided"
1419;"Inna_9";"Aided"
1419;"Inna_4";"Aided"
1419;"Inna_3";"Aided"
1419;"Inna_7";"Aided"
1419;"Inna_5";"Aided"
1419;"Boczniak";"Aided"
1419;"Pieczarka";"Aided"
1430;"Maœlak";"Unaided"
1430;"Go³¹bek";"Aided"
1430;"KoŸlarz";"Aided"
1430;"Nie znam ¿adnych";"Aided"
1430;"Borowik";"Aided"
1430;"Czubajka";"Unaided"
1430;"Podgrzybek";"Not mentioned"
1430;"Opieñka";"Not mentioned"
1430;"G¹ska";"Top of Mind"
1430;"Inna_2";"Aided"
1430;"Inna_1";"Aided"
1430;"Inna_8";"Aided"
1430;"Inna_6";"Aided"
1430;"Inna_9";"Aided"
1430;"Inna_4";"Aided"
1430;"Inna_3";"Aided"
1430;"Inna_7";"Aided"
1430;"Inna_5";"Aided"
1430;"Boczniak";"Aided"
1430;"Pieczarka";"Not mentioned"
1438;"Maœlak";"Aided"
1438;"Go³¹bek";"Not mentioned"
1438;"KoŸlarz";"Aided"
1438;"Nie znam ¿adnych";"Aided"
1438;"Borowik";"Aided"
1438;"Czubajka";"Aided"
1438;"Podgrzybek";"Not mentioned"
1438;"Opieñka";"Not mentioned"
1438;"G¹ska";"Not mentioned"
1438;"Inna_2";"Aided"
1438;"Inna_1";"Aided"
1438;"Inna_8";"Aided"
1438;"Inna_6";"Aided"
1438;"Inna_9";"Aided"
1438;"Inna_4";"Aided"
1438;"Inna_3";"Aided"
1438;"Inna_7";"Aided"
1438;"Inna_5";"Aided"
1438;"Boczniak";"Not mentioned"
1438;"Pieczarka";"Aided"
1439;"Maœlak";"Not mentioned"
1439;"Go³¹bek";"Aided"
1439;"KoŸlarz";"Not mentioned"
1439;"Nie znam ¿adnych";"Aided"
1439;"Borowik";"Aided"
1439;"Czubajka";"Aided"
1439;"Podgrzybek";"Aided"
1439;"Opieñka";"Aided"
1439;"G¹ska";"Not mentioned"
1439;"Inna_2";"Aided"
1439;"Inna_1";"Aided"
1439;"Inna_8";"Aided"
1439;"Inna_6";"Aided"
1439;"Inna_9";"Aided"
1439;"Inna_4";"Aided"
1439;"Inna_3";"Aided"
1439;"Inna_7";"Aided"
1439;"Inna_5";"Aided"
1439;"Boczniak";"Aided"
1439;"Pieczarka";"Aided"
1440;"Maœlak";"Aided"
1440;"Go³¹bek";"Aided"
1440;"KoŸlarz";"Aided"
1440;"Nie znam ¿adnych";"Aided"
1440;"Borowik";"Aided"
1440;"Czubajka";"Aided"
1440;"Podgrzybek";"Aided"
1440;"Opieñka";"Aided"
1440;"G¹ska";"Aided"
1440;"Inna_2";"Aided"
1440;"Inna_1";"Aided"
1440;"Inna_8";"Aided"
1440;"Inna_6";"Aided"
1440;"Inna_9";"Aided"
1440;"Inna_4";"Aided"
1440;"Inna_3";"Aided"
1440;"Inna_7";"Aided"
1440;"Inna_5";"Aided"
1440;"Boczniak";"Aided"
1440;"Pieczarka";"Aided"
1450;"Maœlak";"Not mentioned"
1450;"Go³¹bek";"Not mentioned"
1450;"KoŸlarz";"Not mentioned"
1450;"Nie znam ¿adnych";"Aided"
1450;"Borowik";"Not mentioned"
1450;"Czubajka";"Not mentioned"
1450;"Podgrzybek";"Not mentioned"
1450;"Opieñka";"Not mentioned"
1450;"G¹ska";"Not mentioned"
1450;"Inna_2";"Aided"
1450;"Inna_1";"Aided"
1450;"Inna_8";"Aided"
1450;"Inna_6";"Aided"
1450;"Inna_9";"Aided"
1450;"Inna_4";"Aided"
1450;"Inna_3";"Aided"
1450;"Inna_7";"Aided"
1450;"Inna_5";"Aided"
1450;"Boczniak";"Aided"
1450;"Pieczarka";"Aided"
1462;"Maœlak";"Not mentioned"
1462;"Go³¹bek";"Unaided"
1462;"KoŸlarz";"Not mentioned"
1462;"Nie znam ¿adnych";"Aided"
1462;"Borowik";"Top of Mind"
1462;"Czubajka";"Aided"
1462;"Podgrzybek";"Not mentioned"
1462;"Opieñka";"Not mentioned"
1462;"G¹ska";"Not mentioned"
1462;"Inna_2";"Aided"
1462;"Inna_1";"Aided"
1462;"Inna_8";"Aided"
1462;"Inna_6";"Aided"
1462;"Inna_9";"Aided"
1462;"Inna_4";"Aided"
1462;"Inna_3";"Aided"
1462;"Inna_7";"Aided"
1462;"Inna_5";"Aided"
1462;"Boczniak";"Aided"
1462;"Pieczarka";"Aided"
1475;"Maœlak";"Aided"
1475;"Go³¹bek";"Aided"
1475;"KoŸlarz";"Unaided"
1475;"Nie znam ¿adnych";"Aided"
1475;"Borowik";"Aided"
1475;"Czubajka";"Not mentioned"
1475;"Podgrzybek";"Not mentioned"
1475;"Opieñka";"Aided"
1475;"G¹ska";"Aided"
1475;"Inna_2";"Aided"
1475;"Inna_1";"Aided"
